university_id,mext_school_code,mext_experimental_code,official_name_ja,official_name_en,normalized_name_ja,former_name_ja,institution_status,institution_type,establishment_category,main_or_branch,parent_institution_id,school_corporation_name_ja,postal_code,prefecture_code,prefecture_ja,municipality_ja,address_ja,official_website_url,mext_source_url,mext_record_updated_at,record_created_at,record_updated_at,verification_status,review_notes
univ_f101110100010,F101110100010,not_found,北海道大学,not_found,北海道大学,not_found,active,university,national,main,not_applicable,not_found,0600808,01,北海道,札幌市,北海道札幌市北区北８条西５丁目,not_found,https://www.mext.go.jp/content/20260529-mxt_chousa01-000011635_6.csv,2026-05-20,2026-07-14T02:34:06Z,2026-07-14T02:34:06Z,verified_registry_identity,"Identity verified against MEXT 2026-05-01 provisional F1 registry; English name, website, experimental code, former name, and corporation require later official-source enrichment."
univ_f101110100029,F101110100029,not_found,北海道教育大学,not_found,北海道教育大学,not_found,active,university,national,main,not_applicable,not_found,0028501,01,北海道,札幌市,北海道札幌市北区あいの里５条３－１－３,not_found,https://www.mext.go.jp/content/20260529-mxt_chousa01-000011635_6.csv,2026-05-20,2026-07-14T02:34:06Z,2026-07-14T02:34:06Z,verified_registry_identity,"Identity verified against MEXT 2026-05-01 provisional F1 registry; English name, website, experimental code, former name, and corporation require later official-source enrichment."
univ_f101110100038,F101110100038,not_found,室蘭工業大学,not_found,室蘭工業大学,not_found,active,university,national,main,not_applicable,not_found,0508585,01,北海道,室蘭市,北海道室蘭市水元町２７－１,not_found,https://www.mext.go.jp/content/20260529-mxt_chousa01-000011635_6.csv,2026-05-20,2026-07-14T02:34:06Z,2026-07-14T02:34:06Z,verified_registry_identity,"Identity verified against MEXT 2026-05-01 provisional F1 registry; English name, website, experimental code, former name, and corporation require later official-source enrichment."
univ_f101110100047,F101110100047,not_found,小樽商科大学,not_found,小樽商科大学,not_found,active,university,national,main,not_applicable,not_found,0478501,01,北海道,小樽市,北海道小樽市緑３－５－２１,not_found,https://www.mext.go.jp/content/20260529-mxt_chousa01-000011635_6.csv,2026-05-20,2026-07-14T02:34:06Z,2026-07-14T02:34:06Z,verified_registry_identity,"Identity verified against MEXT 2026-05-01 provisional F1 registry; English name, website, experimental code, former name, and corporation require later official-source enrichment."
univ_f101110100056,F101110100056,not_found,帯広畜産大学,not_found,帯広畜産大学,not_found,active,university,national,main,not_applicable,not_found,0808555,01,北海道,帯広市,北海道帯広市稲田町西２線１１,not_found,https://www.mext.go.jp/content/20260529-mxt_chousa01-000011635_6.csv,2026-05-20,2026-07-14T02:34:06Z,2026-07-14T02:34:06Z,verified_registry_identity,"Identity verified against MEXT 2026-05-01 provisional F1 registry; English name, website, experimental code, former name, and corporation require later official-source enrichment."
univ_f101110100065,F101110100065,not_found,北見工業大学,not_found,北見工業大学,not_found,active,university,national,main,not_applicable,not_found,0908507,01,北海道,北見市,北海道北見市公園町１６５,not_found,https://www.mext.go.jp/content/20260529-mxt_chousa01-000011635_6.csv,2026-05-20,2026-07-14T02:34:06Z,2026-07-14T02:34:06Z,verified_registry_identity,"Identity verified against MEXT 2026-05-01 provisional F1 registry; English name, website, experimental code, former name, and corporation require later official-source enrichment."
univ_f101110100074,F101110100074,not_found,旭川医科大学,not_found,旭川医科大学,not_found,active,university,national,main,not_applicable,not_found,0788510,01,北海道,旭川市,北海道旭川市緑が丘東２条１－１－１,not_found,https://www.mext.go.jp/content/20260529-mxt_chousa01-000011635_6.csv,2026-05-20,2026-07-14T02:34:06Z,2026-07-14T02:34:06Z,verified_registry_identity,"Identity verified against MEXT 2026-05-01 provisional F1 registry; English name, website, experimental code, former name, and corporation require later official-source enrichment."
univ_f101210100081,F101210100081,not_found,札幌医科大学,not_found,札幌医科大学,not_found,active,university,public,main,not_applicable,not_found,0608556,01,北海道,札幌市,北海道札幌市中央区南１条西１７－２９１,not_found,https://www.mext.go.jp/content/20260529-mxt_chousa01-000011635_6.csv,2026-05-20,2026-07-14T02:34:06Z,2026-07-14T02:34:06Z,verified_registry_identity,"Identity verified against MEXT 2026-05-01 provisional F1 registry; English name, website, experimental code, former name, and corporation require later official-source enrichment."
univ_f101210100090,F101210100090,not_found,公立はこだて未来大学,not_found,公立はこだて未来大学,not_found,active,university,public,main,not_applicable,not_found,0418655,01,北海道,函館市,北海道函館市亀田中野町１１６－２,not_found,https://www.mext.go.jp/content/20260529-mxt_chousa01-000011635_6.csv,2026-05-20,2026-07-14T02:34:06Z,2026-07-14T02:34:06Z,verified_registry_identity,"Identity verified against MEXT 2026-05-01 provisional F1 registry; English name, website, experimental code, former name, and corporation require later official-source enrichment."
univ_f101210100107,F101210100107,not_found,釧路公立大学,not_found,釧路公立大学,not_found,active,university,public,main,not_applicable,not_found,0858585,01,北海道,釧路市,北海道釧路市芦野４丁目１番１号,not_found,https://www.mext.go.jp/content/20260529-mxt_chousa01-000011635_6.csv,2026-05-20,2026-07-14T02:34:06Z,2026-07-14T02:34:06Z,verified_registry_identity,"Identity verified against MEXT 2026-05-01 provisional F1 registry; English name, website, experimental code, former name, and corporation require later official-source enrichment."
univ_f101210100116,F101210100116,not_found,名寄市立大学,not_found,名寄市立大学,not_found,active,university,public,main,not_applicable,not_found,0968641,01,北海道,名寄市,北海道名寄市西４条北８丁目１,not_found,https://www.mext.go.jp/content/20260529-mxt_chousa01-000011635_6.csv,2026-05-20,2026-07-14T02:34:06Z,2026-07-14T02:34:06Z,verified_registry_identity,"Identity verified against MEXT 2026-05-01 provisional F1 registry; English name, website, experimental code, former name, and corporation require later official-source enrichment."
univ_f101210100125,F101210100125,not_found,札幌市立大学,not_found,札幌市立大学,not_found,active,university,public,main,not_applicable,not_found,0050864,01,北海道,札幌市,北海道札幌市南区芸術の森１丁目,not_found,https://www.mext.go.jp/content/20260529-mxt_chousa01-000011635_6.csv,2026-05-20,2026-07-14T02:34:06Z,2026-07-14T02:34:06Z,verified_registry_identity,"Identity verified against MEXT 2026-05-01 provisional F1 registry; English name, website, experimental code, former name, and corporation require later official-source enrichment."
univ_f101210100134,F101210100134,not_found,公立千歳科学技術大学,not_found,公立千歳科学技術大学,not_found,active,university,public,main,not_applicable,not_found,0668655,01,北海道,千歳市,北海道千歳市美々７５８－６５,not_found,https://www.mext.go.jp/content/20260529-mxt_chousa01-000011635_6.csv,2026-05-20,2026-07-14T02:34:06Z,2026-07-14T02:34:06Z,verified_registry_identity,"Identity verified against MEXT 2026-05-01 provisional F1 registry; English name, website, experimental code, former name, and corporation require later official-source enrichment."
univ_f101210100143,F101210100143,not_found,旭川市立大学,not_found,旭川市立大学,not_found,active,university,public,main,not_applicable,not_found,0798501,01,北海道,旭川市,北海道旭川市永山３条２３丁目１番９号,not_found,https://www.mext.go.jp/content/20260529-mxt_chousa01-000011635_6.csv,2026-05-20,2026-07-14T02:34:06Z,2026-07-14T02:34:06Z,verified_registry_identity,"Identity verified against MEXT 2026-05-01 provisional F1 registry; English name, website, experimental code, former name, and corporation require later official-source enrichment."
univ_f101310100141,F101310100141,not_found,札幌大学,not_found,札幌大学,not_found,active,university,private,main,not_applicable,not_found,0628520,01,北海道,札幌市,北海道札幌市豊平区西岡３条７丁目３－１,not_found,https://www.mext.go.jp/content/20260529-mxt_chousa01-000011635_6.csv,2026-05-20,2026-07-14T02:34:06Z,2026-07-14T02:34:06Z,verified_registry_identity,"Identity verified against MEXT 2026-05-01 provisional F1 registry; English name, website, experimental code, former name, and corporation require later official-source enrichment."
univ_f101310100150,F101310100150,not_found,札幌学院大学,not_found,札幌学院大学,not_found,active,university,private,main,not_applicable,not_found,0698555,01,北海道,江別市,北海道江別市文京台１１,not_found,https://www.mext.go.jp/content/20260529-mxt_chousa01-000011635_6.csv,2026-05-20,2026-07-14T02:34:06Z,2026-07-14T02:34:06Z,verified_registry_identity,"Identity verified against MEXT 2026-05-01 provisional F1 registry; English name, website, experimental code, former name, and corporation require later official-source enrichment."
univ_f101310100169,F101310100169,not_found,函館大学,not_found,函館大学,not_found,active,university,private,main,not_applicable,not_found,0420955,01,北海道,函館市,北海道函館市高丘町５１－１,not_found,https://www.mext.go.jp/content/20260529-mxt_chousa01-000011635_6.csv,2026-05-20,2026-07-14T02:34:06Z,2026-07-14T02:34:06Z,verified_registry_identity,"Identity verified against MEXT 2026-05-01 provisional F1 registry; English name, website, experimental code, former name, and corporation require later official-source enrichment."
univ_f101310100178,F101310100178,not_found,藤女子大学,not_found,藤女子大学,not_found,active,university,private,main,not_applicable,not_found,0010016,01,北海道,札幌市,北海道札幌市北区北１６西２－１－１,not_found,https://www.mext.go.jp/content/20260529-mxt_chousa01-000011635_6.csv,2026-05-20,2026-07-14T02:34:06Z,2026-07-14T02:34:06Z,verified_registry_identity,"Identity verified against MEXT 2026-05-01 provisional F1 registry; English name, website, experimental code, former name, and corporation require later official-source enrichment."
univ_f101310100187,F101310100187,not_found,北星学園大学,not_found,北星学園大学,not_found,active,university,private,main,not_applicable,not_found,0048631,01,北海道,札幌市,北海道札幌市厚別区大谷地西２－３－１,not_found,https://www.mext.go.jp/content/20260529-mxt_chousa01-000011635_6.csv,2026-05-20,2026-07-14T02:34:06Z,2026-07-14T02:34:06Z,verified_registry_identity,"Identity verified against MEXT 2026-05-01 provisional F1 registry; English name, website, experimental code, former name, and corporation require later official-source enrichment."
